date,app_events
2013-03-24,14894
2013-03-25,19222
2013-03-26,14846
2013-03-27,17720
2013-03-28,25926
2013-03-29,32660
2013-03-30,30852
2013-03-31,31254
2013-04-01,35575
2013-04-02,36492
2013-04-03,36517
2013-04-04,37957
2013-04-05,38521
2013-04-06,34469
2013-04-07,26970
2013-04-08,29863
2013-04-09,33547
2013-04-10,38950
2013-04-11,38946
2013-04-12,39180
2013-04-13,38108
2013-04-14,38883
2013-04-15,35405
2013-04-16,40010
2013-04-17,39273
2013-04-18,39489
2013-04-19,37397
2013-04-20,34483
2013-04-21,36512
2013-04-22,41507
2013-04-23,42576
2013-04-24,36524
2013-04-25,35276
2013-04-26,33125
2013-04-27,34614
2013-04-28,33379
2013-04-29,30449
2013-04-30,32039
2013-05-01,33154
2013-05-02,29482
2013-05-03,30472
2013-05-04,27490
2013-05-05,27811
2013-05-06,28653
2013-05-07,27818
2013-05-08,24452
2013-05-09,20369
2013-05-10,20379
2013-05-11,19509
2013-05-12,20430
2013-05-13,24978
2013-05-14,28059
2013-05-15,30135
2013-05-16,28297
2013-05-17,24327
2013-05-18,19288
2013-05-19,15753
2013-05-20,20452
2013-05-21,20915
2013-05-22,18516
2013-05-23,18325
2013-05-24,15847
2013-05-25,16878
2013-05-26,14565
2013-05-27,15441
2013-05-28,17281
2013-05-29,17086
2013-05-30,10938
2013-05-31,9181
2013-06-01,5631
2013-06-02,4431
2013-06-03,5887
2013-06-04,4831
2013-06-05,3759
2013-06-06,2442
2013-06-07,1462
2013-06-08,1120
2013-06-09,1067
2013-06-10,959
2013-06-11,1153
2013-06-12,1239
2013-06-13,133
2013-06-14,500
2013-06-15,428
2013-06-16,233
2013-06-17,387
2013-06-18,26
2013-06-19,126
2013-06-20,466
2013-06-21,648
2013-06-22,259
2013-06-23,65
2013-06-24,89
2013-06-25,68
2013-06-30,165
2013-07-01,1115
2013-07-02,574
2013-07-03,358
2013-07-04,276
2013-07-05,446
2013-07-06,212
2013-07-08,251
2014-01-17,13
