date,ml_drift_detected,statistical_drift_detected,final_drift_detected
2013-03-24,False,False,False
2013-03-25,True,False,True
2013-03-26,True,False,True
2013-03-27,True,False,True
2013-03-28,True,False,True
2013-03-29,True,False,True
2013-03-30,True,False,True
2013-03-31,True,False,True
2013-04-01,True,False,True
2013-04-02,True,False,True
2013-04-03,True,False,True
2013-04-04,False,False,False
2013-04-05,False,False,False
2013-04-06,False,False,False
2013-04-07,False,False,False
2013-04-08,False,False,False
2013-04-09,False,False,False
2013-04-10,False,False,False
2013-04-11,False,False,False
2013-04-12,False,False,False
2013-04-13,False,False,False
2013-04-14,False,False,False
2013-04-15,False,False,False
2013-04-16,False,False,False
2013-04-17,False,False,False
2013-04-18,False,False,False
2013-04-19,False,False,False
2013-04-20,False,False,False
2013-04-21,False,False,False
2013-04-22,False,False,False
2013-04-23,False,False,False
2013-04-24,False,False,False
2013-04-25,False,False,False
2013-04-26,False,False,False
2013-04-27,False,False,False
2013-04-28,False,False,False
2013-04-29,False,False,False
2013-04-30,False,False,False
2013-05-01,False,False,False
2013-05-02,False,False,False
2013-05-03,False,False,False
2013-05-04,False,False,False
2013-05-05,False,False,False
2013-05-06,False,False,False
2013-05-07,False,False,False
2013-05-08,False,False,False
2013-05-09,False,False,False
2013-05-10,False,False,False
2013-05-11,False,False,False
2013-05-12,False,False,False
2013-05-13,False,False,False
2013-05-14,False,False,False
2013-05-15,False,False,False
2013-05-16,False,False,False
2013-05-17,False,False,False
2013-05-18,False,False,False
2013-05-19,False,False,False
2013-05-20,False,False,False
2013-05-21,False,False,False
2013-05-22,False,False,False
2013-05-23,False,False,False
2013-05-24,False,False,False
2013-05-25,False,False,False
2013-05-26,False,False,False
2013-05-27,False,False,False
2013-05-28,False,False,False
2013-05-29,False,False,False
2013-05-30,False,False,False
2013-05-31,True,False,True
2013-06-01,True,False,True
2013-06-02,True,False,True
2013-06-03,True,False,True
2013-06-04,True,False,True
2013-06-05,True,False,True
2013-06-06,False,False,False
2013-06-07,False,False,False
2013-06-08,False,False,False
2013-06-09,False,False,False
2013-06-10,False,False,False
2013-06-11,False,False,False
2013-06-12,False,False,False
2013-06-13,False,False,False
2013-06-14,False,False,False
2013-06-15,False,False,False
2013-06-16,False,False,False
2013-06-17,False,False,False
2013-06-18,False,False,False
2013-06-19,False,False,False
2013-06-20,False,False,False
2013-06-21,False,False,False
2013-06-22,False,False,False
2013-06-23,False,False,False
2013-06-24,False,False,False
2013-06-25,False,False,False
2013-06-30,False,False,False
2013-07-01,False,False,False
2013-07-02,False,False,False
2013-07-03,False,False,False
2013-07-04,False,False,False
2013-07-05,False,False,False
2013-07-06,False,False,False
2013-07-08,False,False,False
2014-01-17,False,False,False
