date,ml_drift_detected
2013-03-24,False
2013-03-25,True
2013-03-26,True
2013-03-27,True
2013-03-28,True
2013-03-29,True
2013-03-30,True
2013-03-31,True
2013-04-01,True
2013-04-02,True
2013-04-03,True
2013-04-04,False
2013-04-05,False
2013-04-06,False
2013-04-07,False
2013-04-08,False
2013-04-09,False
2013-04-10,False
2013-04-11,False
2013-04-12,False
2013-04-13,False
2013-04-14,False
2013-04-15,False
2013-04-16,False
2013-04-17,False
2013-04-18,False
2013-04-19,False
2013-04-20,False
2013-04-21,False
2013-04-22,False
2013-04-23,False
2013-04-24,False
2013-04-25,False
2013-04-26,False
2013-04-27,False
2013-04-28,False
2013-04-29,False
2013-04-30,False
2013-05-01,False
2013-05-02,False
2013-05-03,False
2013-05-04,False
2013-05-05,False
2013-05-06,False
2013-05-07,False
2013-05-08,False
2013-05-09,False
2013-05-10,False
2013-05-11,False
2013-05-12,False
2013-05-13,False
2013-05-14,False
2013-05-15,False
2013-05-16,False
2013-05-17,False
2013-05-18,False
2013-05-19,False
2013-05-20,False
2013-05-21,False
2013-05-22,False
2013-05-23,False
2013-05-24,False
2013-05-25,False
2013-05-26,False
2013-05-27,False
2013-05-28,False
2013-05-29,False
2013-05-30,False
2013-05-31,True
2013-06-01,True
2013-06-02,True
2013-06-03,True
2013-06-04,True
2013-06-05,True
2013-06-06,False
2013-06-07,False
2013-06-08,False
2013-06-09,False
2013-06-10,False
2013-06-11,False
2013-06-12,False
2013-06-13,False
2013-06-14,False
2013-06-15,False
2013-06-16,False
2013-06-17,False
2013-06-18,False
2013-06-19,False
2013-06-20,False
2013-06-21,False
2013-06-22,False
2013-06-23,False
2013-06-24,False
2013-06-25,False
2013-06-30,False
2013-07-01,False
2013-07-02,False
2013-07-03,False
2013-07-04,False
2013-07-05,False
2013-07-06,False
2013-07-08,False
2014-01-17,False
