date,unlock_count
2013-03-26,1
2013-03-27,118
2013-03-28,149
2013-03-29,169
2013-03-30,162
2013-03-31,169
2013-04-01,183
2013-04-02,211
2013-04-03,234
2013-04-04,174
2013-04-05,199
2013-04-06,164
2013-04-07,145
2013-04-08,186
2013-04-09,174
2013-04-10,185
2013-04-11,175
2013-04-12,196
2013-04-13,148
2013-04-14,154
2013-04-15,174
2013-04-16,153
2013-04-17,157
2013-04-18,181
2013-04-19,164
2013-04-20,129
2013-04-21,170
2013-04-22,150
2013-04-23,163
2013-04-24,154
2013-04-25,141
2013-04-26,160
2013-04-27,155
2013-04-28,139
2013-04-29,145
2013-04-30,132
2013-05-01,153
2013-05-02,126
2013-05-03,139
2013-05-04,88
2013-05-05,103
2013-05-06,131
2013-05-07,128
2013-05-08,157
2013-05-09,120
2013-05-10,118
2013-05-11,109
2013-05-12,123
2013-05-13,153
2013-05-14,117
2013-05-15,147
2013-05-16,105
2013-05-17,106
2013-05-18,87
2013-05-19,112
2013-05-20,124
2013-05-21,107
2013-05-22,108
2013-05-23,109
2013-05-24,98
2013-05-25,88
2013-05-26,87
2013-05-27,95
2013-05-28,128
2013-05-29,95
2013-05-30,78
2013-05-31,65
2013-06-01,8
